date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:34	47170/47170	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20May%202021%2015:18:10%20GMT	https://thetav.online/html/mat/default/index.html?fbclid=IwAR2C-0_kY4-SMk00DMEiOqsHvq7rYuIMd8phykLhUhVpQsGfzwqxKw3OrhI	C:/My%20Web%20Sites/new2022onlineresume/thetav.online/html/mat/default/indexdd7a.html	(from )
14:25:34	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Jan%202022%2020:25:33%20GMT	https://thetav.online/robots.txt		(from )
14:25:35	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22378155d-47e-5c2d89156f11d%22	https://thetav.online/html/mat/default/favicon.ico	C:/My%20Web%20Sites/new2022onlineresume/thetav.online/html/mat/default/favicon.ico	(from https://thetav.online/html/mat/default/index.html?fbclid=IwAR2C-0_kY4-SMk00DMEiOqsHvq7rYuIMd8phykLhUhVpQsGfzwqxKw3OrhI)
14:25:35	147430/147430	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20May%202021%2015:18:33%20GMT	https://thetav.online/html/mat/default/css/bootstrap.css	C:/My%20Web%20Sites/new2022onlineresume/thetav.online/html/mat/default/css/bootstrap.css	(from https://thetav.online/html/mat/default/index.html?fbclid=IwAR2C-0_kY4-SMk00DMEiOqsHvq7rYuIMd8phykLhUhVpQsGfzwqxKw3OrhI)
14:25:36	2084/2084	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20May%202021%2015:18:32%20GMT	https://thetav.online/html/mat/default/css/reset.css	C:/My%20Web%20Sites/new2022onlineresume/thetav.online/html/mat/default/css/reset.css	(from https://thetav.online/html/mat/default/index.html?fbclid=IwAR2C-0_kY4-SMk00DMEiOqsHvq7rYuIMd8phykLhUhVpQsGfzwqxKw3OrhI)
14:25:36	83746/83746	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20May%202021%2015:20:22%20GMT	https://thetav.online/html/mat/default/cubeportfolio/css/cubeportfolio.min.css	C:/My%20Web%20Sites/new2022onlineresume/thetav.online/html/mat/default/cubeportfolio/css/cubeportfolio.min.css	(from https://thetav.online/html/mat/default/index.html?fbclid=IwAR2C-0_kY4-SMk00DMEiOqsHvq7rYuIMd8phykLhUhVpQsGfzwqxKw3OrhI)
14:25:36	1120/1120	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20May%202021%2015:18:33%20GMT	https://thetav.online/html/mat/default/css/owl.theme.css	C:/My%20Web%20Sites/new2022onlineresume/thetav.online/html/mat/default/css/owl.theme.css	(from https://thetav.online/html/mat/default/index.html?fbclid=IwAR2C-0_kY4-SMk00DMEiOqsHvq7rYuIMd8phykLhUhVpQsGfzwqxKw3OrhI)
14:25:36	1064/1064	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20May%202021%2015:18:33%20GMT	https://thetav.online/html/mat/default/css/owl.carousel.css	C:/My%20Web%20Sites/new2022onlineresume/thetav.online/html/mat/default/css/owl.carousel.css	(from https://thetav.online/html/mat/default/index.html?fbclid=IwAR2C-0_kY4-SMk00DMEiOqsHvq7rYuIMd8phykLhUhVpQsGfzwqxKw3OrhI)
14:25:37	33884/33884	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20May%202021%2015:18:33%20GMT	https://thetav.online/html/mat/default/css/style.css	C:/My%20Web%20Sites/new2022onlineresume/thetav.online/html/mat/default/css/style.css	(from https://thetav.online/html/mat/default/index.html?fbclid=IwAR2C-0_kY4-SMk00DMEiOqsHvq7rYuIMd8phykLhUhVpQsGfzwqxKw3OrhI)
14:25:37	1660/1660	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20May%202021%2015:20:09%20GMT	https://thetav.online/html/mat/default/css/colors/yellow.css	C:/My%20Web%20Sites/new2022onlineresume/thetav.online/html/mat/default/css/colors/yellow.css	(from https://thetav.online/html/mat/default/index.html?fbclid=IwAR2C-0_kY4-SMk00DMEiOqsHvq7rYuIMd8phykLhUhVpQsGfzwqxKw3OrhI)
